SITE_ID	INSTITUTE	SITE_NAME	WILDCARD_ID	INVENTORY_TYPE	INVENTORY_YEAR	NO_PLOTS	CIRCLE_NO	CIRCLE_RADIUS	CIRCLE_AZIMUTH	CIRCLE_DISTANCE	POM_MARK	STANDING_ALIVE_THRESHOLD	STANDING_DEAD_THRESHOLD	LYING_ALIVE_THRESHOLD	LYING_DEAD_THRESHOLD	SPECIES_POOL	LIS_CWD	BOUNDARY	STEM_COORD_REF_POINT	EPSG_CODE	OTHER	FOREST_TYPE	YEAR_ABANDONMENT	SOIL_CLASS	HIS	GEOM
03-001	NW-FVA	Nordahner Holz	\N	LPI	1975	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-001	NW-FVA	Nordahner Holz	\N	LPI	1985	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-001	NW-FVA	Nordahner Holz	\N	LPI	2003	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-001	NW-FVA	Nordahner Holz	\N	LPI	2022	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-002	NW-FVA	Franzhorn	\N	LPI	1975	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1972	\N	Y	\N
03-002	NW-FVA	Franzhorn	\N	LPI	1996	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1972	\N	Y	\N
03-002	NW-FVA	Franzhorn	\N	LPI	1997	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1972	\N	Y	\N
03-002	NW-FVA	Franzhorn	\N	LPI	2011	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1972	\N	Y	\N
03-002	NW-FVA	Franzhorn	\N	LPI	2021	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1972	\N	Y	\N
03-002	NW-FVA	Franzhorn	\N	LPI	2022	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1972	\N	Y	\N
03-003	NW-FVA	Herrenholz	\N	LPI	1974	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-003	NW-FVA	Herrenholz	\N	LPI	1991	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-003	NW-FVA	Herrenholz	\N	LPI	2004	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-003	NW-FVA	Herrenholz	\N	LPI	2022	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-011	NW-FVA	Walbecker Warte	\N	LPI	1971	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-011	NW-FVA	Walbecker Warte	\N	LPI	2000	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-011	NW-FVA	Walbecker Warte	\N	LPI	2012	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-011	NW-FVA	Walbecker Warte	\N	LPI	2022	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-012	NW-FVA	Grosser Freeden	\N	LPI	1971	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-012	NW-FVA	Grosser Freeden	\N	LPI	1982	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-012	NW-FVA	Grosser Freeden	\N	LPI	2004	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-012	NW-FVA	Grosser Freeden	\N	LPI	2020	2	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-014	NW-FVA	Huenstollen	\N	LPI	1970	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-014	NW-FVA	Huenstollen	\N	LPI	1980	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-014	NW-FVA	Huenstollen	\N	LPI	2004	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
03-014	NW-FVA	Huenstollen	\N	LPI	2020	1	\N	\N	\N	\N	Y	7	7	7	7	AWS	N	see_shape_files	SBC	31467	\N	\N	1967	\N	Y	\N
