INSTITUTE	SITE_ID	SITE_NAME	WILDCARD_ID	INVENTORY_TYPE	INVENTORY_YEAR	NO_PLOTS	CIRCLE_NO	CIRCLE_RADIUS	CIRCLE_AZIMUTH	CIRCLE_DISTANCE	POM_MARK	STANDING_ALIVE_THRESHOLD	STANDING_DEAD_THRESHOLD	LYING_ALIVE_THRESHOLD	LYING_DEAD_THRESHOLD	SPECIES_POOL	LIS_CWD	BOUNDARY	STEM_COORD_REF_POINT	EPSG_CODE	OTHER	FOREST_TYPE	YEAR_ABANDONMENT	SOIL_CLASS
NW-FVA	06-001	Niestehaenge	\N	SPI	1988	12	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-001	Niestehaenge	\N	SPI	1988	21	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-001	Niestehaenge	\N	SPI	2019	12	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-001	Niestehaenge	\N	SPI	2019	21	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-002	Goldbachs- und Ziebachsrueck	\N	SPI	1988	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-002	Goldbachs- und Ziebachsrueck	\N	SPI	1988	24	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-002	Goldbachs- und Ziebachsrueck	\N	SPI	2009	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-002	Goldbachs- und Ziebachsrueck	\N	SPI	2009	24	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-003	Schoenbuche	\N	SPI	1988	1	1	12.62	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-003	Schoenbuche	\N	SPI	1988	27	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-003	Schoenbuche	\N	SPI	2010	28	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-004	Wattenberg und Hundsberg	\N	SPI	1988	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-004	Wattenberg und Hundsberg	\N	SPI	1988	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-004	Wattenberg und Hundsberg	\N	SPI	2017	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-004	Wattenberg und Hundsberg	\N	SPI	2017	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-005	Meissner	\N	SPI	1988	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-005	Meissner	\N	SPI	1988	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-005	Meissner	\N	SPI	2010	1	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-005	Meissner	\N	SPI	2010	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-006	Niddahaenge	\N	SPI	1988	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-006	Niddahaenge	\N	SPI	2020	40	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-007	Ruine Reichenbach	\N	SPI	1988	2	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-007	Ruine Reichenbach	\N	SPI	1988	27	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-007	Ruine Reichenbach	\N	SPI	2011	2	1	10	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
NW-FVA	06-007	Ruine Reichenbach	\N	SPI	2011	26	1	17.84	0	0	Y	7	7	20	20	AWS	N	see_shape_files	SBC	31467	/N	/N	/N	/N
