site_id	site_name	wildcard_sub_id	lpi_id	spi_id	circle_no	circle_radius	plot_sampled	sampled_area	inventory_year	consistent_id_standign	consistent_id_lying	other	geom	slope	topo	expo	elev_center	elev_range
03-002	Franzhorn	a	1	\N	\N	\N	Y	10000	1975	\N	\N	\N	POINT (4254138.09592784 3368877.48831399)	1.9	level	S	69	\N
03-002	Franzhorn	a	1	\N	\N	\N	Y	10000	1996	Y	N	\N	POINT (4254138.09592784 3368877.48831399)	1.9	level	S	69	\N
03-002	Franzhorn	a	1	\N	\N	\N	Y	10000	2011	Y	Y	\N	POINT (4254138.09592784 3368877.48831399)	1.9	level	S	69	\N
03-002	Franzhorn	a	1	\N	\N	\N	Y	10000	2021	Y	Y	\N	POINT (4254138.09592784 3368877.48831399)	1.9	level	S	69	\N
03-002	Franzhorn	b	2	\N	\N	\N	Y	10000	1975	\N	\N	\N	POINT (4254543.47191323 3368792.2025809)	2.3	level	E	46	\N
03-002	Franzhorn	b	2	\N	\N	\N	Y	10000	1997	Y	N	\N	POINT (4254543.47191323 3368792.2025809)	2.3	level	E	46	\N
03-002	Franzhorn	b	2	\N	\N	\N	Y	10000	2011	Y	Y	\N	POINT (4254543.47191323 3368792.2025809)	2.3	level	E	46	\N
03-002	Franzhorn	b	2	\N	\N	\N	Y	10000	2022	Y	Y	\N	POINT (4254543.47191323 3368792.2025809)	2.3	level	E	46	\N
03-053	Friedeholz	\N	1	\N	\N	\N	Y	10000	1975	\N	\N	\N	POINT (4228896.23946372 3307477.72481048)	1.6	level	SE	58	\N
03-053	Friedeholz	\N	1	\N	\N	\N	Y	10000	1997	Y	N	\N	POINT (4228896.23946372 3307477.72481048)	1.6	level	SE	58	\N
03-053	Friedeholz	\N	1	\N	\N	\N	Y	10000	2011	Y	Y	\N	POINT (4228896.23946372 3307477.72481048)	1.6	level	SE	58	\N
03-053	Friedeholz	\N	1	\N	\N	\N	Y	10000	2022	Y	Y	\N	POINT (4228896.23946372 3307477.72481048)	1.6	level	SE	58	\N
03-025	Goehrder Eichen	\N	2	\N	\N	\N	Y	10000	1973	\N	\N	\N	POINT (4377033.88416625 3332556.69402265)	1.2	level	E	111	\N
03-025	Goehrder Eichen	\N	2	\N	\N	\N	Y	10000	1983	Y	N	\N	POINT (4377033.88416625 3332556.69402265)	1.2	level	E	111	\N
03-025	Goehrder Eichen	\N	2	\N	\N	\N	Y	10000	2017	Y	Y	\N	POINT (4377033.88416625 3332556.69402265)	1.2	level	E	111	\N
03-025	Goehrder Eichen	\N	2	\N	\N	\N	Y	10000	2022	Y	Y	\N	POINT (4377033.88416625 3332556.69402265)	1.2	level	E	111	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	1	1	17.84	Y	500	1988	\N	\N	\N	POINT (4312553.688275843090989.51410504)	8	upper slope	NW	342.686	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	2	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312452.885202913090998.66260911)	15	middle slope	NW	335.509	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	3	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312353.348411163091001.63378908)	19	middle slope	W	322.755	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	4	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312255.309012643091007.35472983)	38	lower slope	W	304.50699	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	5	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312154.513885593091008.98299125)	19	lower slope	E	309.285	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	6	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312052.539048423091016.53743552)	10	middle slope	E	323.25101	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	7	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4311957.323053683091016.59995707)	8	upper slope	E	331.59799	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	26	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312456.499699843090892.08089055)	10	upper slope	NW	347.59299	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	27	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312446.760405433090792.66061586)	5	upper slope	NW	357.17099	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	28	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312447.147656853090695.14293996)	7	upper slope	NW	364.70901	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	29	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312354.944332463090803.01715006)	15	middle slope	W	347.603	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	30	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312355.799443343090901.43800566)	15	middle slope	W	336.78601	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	31	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312357.359011533091102.65188879)	22	lower slope	NW	309.634	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	32	1	10	Y	314	1988	\N	\N	\N	POINT (4312251.96028493090907.20765751)	44	lower slope	W	317.263	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	33	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312247.862488583090810.08083403)	19	middle slope	W	326.5	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	34	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4311958.788675463091117.26265637)	7	upper slope	E	328.427	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	35	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4311963.765566933091215.78764061)	4	crest	S	326.155	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	36	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4311951.935950953090915.11047451)	10	upper slope	E	335.19901	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	43	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4311847.198190853090920.99240224)	3	crest	NE	343.15601	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	53	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312048.091032283090914.9752179)	14	middle slope	E	324.89801	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	58	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312159.080418533090918.02869344)	22	lower slope	E	306.86401	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	59	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312161.454169383091109.96135164)	21	lower slope	E	306.064	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	60	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312156.91678893091212.64556505)	15	lower slope	E	305.81601	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	61	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312058.241769443091215.74513339)	11	upper slope	E	318.806	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	62	1	17.84	Y	1000	1988	\N	\N	\N	POINT (4312058.876811643091114.38391)	16	middle slope	E	318.14099	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	1	1	17.84	Y	500	2009	Y	Y	\N	POINT (4312553.688275843090989.51410504)	8	upper slope	NW	342.686	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	2	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312452.885202913090998.66260911)	15	middle slope	NW	335.509	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	3	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312353.348411163091001.63378908)	19	middle slope	W	322.755	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	4	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312255.309012643091007.35472983)	38	lower slope	W	304.50699	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	5	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312154.513885593091008.98299125)	19	lower slope	E	309.285	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	6	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312052.539048423091016.53743552)	10	middle slope	E	323.25101	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	7	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4311957.323053683091016.59995707)	8	upper slope	E	331.59799	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	26	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312456.499699843090892.08089055)	10	upper slope	NW	347.59299	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	27	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312446.760405433090792.66061586)	5	upper slope	NW	357.17099	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	28	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312447.147656853090695.14293996)	7	upper slope	NW	364.70901	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	29	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312354.944332463090803.01715006)	15	middle slope	W	347.603	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	30	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312355.799443343090901.43800566)	15	middle slope	W	336.78601	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	31	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312357.359011533091102.65188879)	22	lower slope	NW	309.634	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	32	1	10	Y	314	2009	Y	Y	\N	POINT (4312251.96028493090907.20765751)	44	lower slope	W	317.263	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	33	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312247.862488583090810.08083403)	19	middle slope	W	326.5	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	34	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4311958.788675463091117.26265637)	7	upper slope	E	328.427	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	35	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4311963.765566933091215.78764061)	4	crest	S	326.155	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	36	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4311951.935950953090915.11047451)	10	upper slope	E	335.19901	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	43	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4311847.198190853090920.99240224)	3	crest	NE	343.15601	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	53	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312048.091032283090914.9752179)	14	middle slope	E	324.89801	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	58	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312159.080418533090918.02869344)	22	lower slope	E	306.86401	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	59	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312161.454169383091109.96135164)	21	lower slope	E	306.064	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	60	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312156.91678893091212.64556505)	15	lower slope	E	305.81601	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	61	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312058.241769443091215.74513339)	11	upper slope	E	318.806	\N
06-002	Goldbachs- und Ziebachsrueck	\N	\N	62	1	17.84	Y	1000	2009	Y	Y	\N	POINT (4312058.876811643091114.38391)	16	middle slope	E	318.14099	\N
03-012	Grosser Freeden	\N	1	\N	\N	\N	Y	12000	1971	\N	\N	\N	POINT (4190474.63733541 3229340.08848624)	17.6	upper slope	S	266	\N
03-012	Grosser Freeden	\N	2	\N	\N	\N	Y	5600	1971	\N	\N	\N	POINT (4190876.15030043 3229412.92189331)	8.2	upper slope	N	253	\N
03-012	Grosser Freeden	\N	1	\N	\N	\N	Y	12000	1982	Y	N	\N	POINT (4190474.63733541 3229340.08848624)	17.6	upper slope	S	266	\N
03-012	Grosser Freeden	\N	2	\N	\N	\N	Y	5600	1982	Y	N	\N	POINT (4190876.15030043 3229412.92189331)	8.2	upper slope	N	253	\N
03-012	Grosser Freeden	\N	1	\N	\N	\N	Y	12000	2004	Y	Y	\N	POINT (4190474.63733541 3229340.08848624)	17.6	upper slope	S	266	\N
03-012	Grosser Freeden	\N	2	\N	\N	\N	Y	5600	2004	Y	Y	\N	POINT (4190876.15030043 3229412.92189331)	8.2	upper slope	N	253	\N
03-012	Grosser Freeden	\N	1	\N	\N	\N	Y	12000	2020	Y	Y	\N	POINT (4190474.63733541 3229340.08848624)	17.6	upper slope	S	266	\N
03-012	Grosser Freeden	\N	2	\N	\N	\N	Y	5600	2020	Y	Y	\N	POINT (4190876.15030043 3229412.92189331)	8.2	upper slope	N	253	\N
03-017	Grosser Staufenberg	\N	1	\N	\N	\N	Y	9600	1971	\N	\N	\N	POINT (4365020.55430929 3168444.46908447)	21.2	upper slope	S	520	\N
03-017	Grosser Staufenberg	\N	2	\N	\N	\N	Y	4800	1971	\N	\N	\N	POINT (4365016.32170766 3168631.22711313)	23	upper slope	NE	536	\N
